constituency_code,constituency_name,member_name,party,province,district
PP-1,Attock-I,Qazi Ahmed Akbar,Sunni Ittehad Council,Punjab,Attock
PP-2,Attock-II,Sardar Mohammad Ali Khan,Sunni Ittehad Council,Punjab,Attock
PP-3,Attock-III,Ejaz Hussain Bukhari,Sunni Ittehad Council,Punjab,Attock
PP-4,Attock-IV,Chaudhry Sher Ali Khan,Pakistan Muslim League (N),Punjab,Attock
PP-5,Attock-V,Malik Aitbar Khan,Pakistan Muslim League (N),Punjab,Attock
PP-6,Murree,Muhammad Bilal Yamin,Pakistan Muslim League (N),Punjab,Murree
PP-7,Rawalpindi-I,Raja Sagheer Ahmed,Pakistan People’s Party,Punjab,Rawalpindi
PP-8,Rawalpindi-II,Chaudhary Javed Kausar,Sunni Ittehad Council,Punjab,Rawalpindi
PP-9,Rawalpindi-III,Raja Shoukat Aziz Bhatti,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-10,Rawalpindi-IV,Naeem Ejaz,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-11,Rawalpindi-V,Imran Ilyas Chaudhry,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-12,Rawalpindi-VI,Mohsin Ayub Khan,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-13,Rawalpindi-VII,Malik Fahad Masood,Sunni Ittehad Council,Punjab,Rawalpindi
PP-14,Rawalpindi-VIII,Malik Iftikhar Ahmed,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-15,Rawalpindi-IX,Malik Mansoor Afsar,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-16,Rawalpindi-X,Zia Ullah Shah,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-17,Rawalpindi-XI,Raja Abdul Hanif,Pakistan Muslim League (N),Punjab,Rawalpindi
PP-18,Rawalpindi-XII,Asad Abbas,Majlis Wahdat-e-Muslimeen,Punjab,Rawalpindi
PP-19,Rawalpindi-XIII,Muhammad Tanveer Aslam,Sunni Ittehad Council,Punjab,Rawalpindi
PP-20,Chakwal-I,Sultan Haider Ali Khan,Pakistan Muslim League (N),Punjab,Chakwal
PP-21,Chakwal-II,Tanveer Aslam Malik,Pakistan Muslim League (N),Punjab,Chakwal
PP-22,Chakwal-cum-Talagang,Malik Falak Sher Awan,Pakistan Muslim League (N),Punjab,Chakwal-cum
PP-23,Talagang,Shehryar Malik,Pakistan Muslim League (N),Punjab,Talagang
PP-24,Jhelum-I,Syed Riffat Mehmood,Sunni Ittehad Council,Punjab,Jhelum
PP-25,Jhelum-II,Yasir Mehmood Qureshi,Sunni Ittehad Council,Punjab,Jhelum
PP-26,Jhelum-III,Mushtaq Ahmed,Sunni Ittehad Council,Punjab,Jhelum
PP-27,Gujrat-I,Raja Muhammad Aslam Khan,Pakistan Muslim League (Q),Punjab,Gujrat
PP-28,Gujrat-II,Shahid Raza,Sunni Ittehad Council,Punjab,Gujrat
PP-29,Gujrat-III,Khalid Javed Asghar Ghural,Pakistan Muslim League (Q),Punjab,Gujrat
PP-30,Gujrat-IV,Muhammad Abdullah Warraich,Sunni Ittehad Council,Punjab,Gujrat
PP-31,Gujrat-V,Shafay Hussain,Pakistan Muslim League (Q),Punjab,Gujrat
PP-32,Gujrat-VI,Chaudhry Musa Elahi,Pakistan Muslim League (Q),Punjab,Gujrat
PP-33,Gujrat-VII,Syed Madad Ali Shah,Pakistan Muslim League (Q),Punjab,Gujrat
PP-34,Gujrat-VIII,Chaudhry ljaz Ahmad,Pakistan Muslim League (Q),Punjab,Gujrat
PP-35,Wazirabad-I,Waqar Ahmad Cheema,Pakistan Muslim League (N),Punjab,Wazirabad
PP-36,Wazirabad-II,Adnan Afzal Chattha,Pakistan Muslim League (N),Punjab,Wazirabad
PP-37,Hafizabad-I,Shahid Hussain Bhatti,Pakistan Muslim League (N),Punjab,Hafizabad
PP-38,Hafizabad-II,Zameer Ul Hassan Bhatti,Sunni Ittehad Council,Punjab,Hafizabad
PP-39,Hafizabad-III,Muhammad Aoun Jahangir,Pakistan Muslim League (N),Punjab,Hafizabad
PP-40,Mandi Bahauddin-I,Zarnab Sher,Sunni Ittehad Council,Punjab,Mandi Bahauddin
PP-41,Mandi Bahauddin-II,Basma Riaz Choudhry,Sunni Ittehad Council,Punjab,Mandi Bahauddin
PP-42,Mandi Bahauddin-III,Khalid Mahmood Ranjha,Pakistan Muslim League (N),Punjab,Mandi Bahauddin
PP-43,Mandi Bahauddin-IV,Chaudhry Akhtar Abbas Bosal,Pakistan Muslim League (N),Punjab,Mandi Bahauddin
PP-44,Sialkot-I,Rana Muhammad Arif Iqbal Harnah,Pakistan Muslim League (N),Punjab,Sialkot
PP-45,Sialkot-II,Tariq Subhani,Pakistan Muslim League (N),Punjab,Sialkot
PP-46,Sialkot-III,Faisal Akram,Pakistan Muslim League (N),Punjab,Sialkot
PP-47,Sialkot-IV,Muhammad Mansha Ullah Butt,Pakistan Muslim League (N),Punjab,Sialkot
PP-48,Sialkot-V,Khurram Khan Virk,Pakistan Muslim League (N),Punjab,Sialkot
PP-49,Sialkot-VI,Muhammad Fiaz,Pakistan Muslim League (N),Punjab,Sialkot
PP-50,Sialkot-VII,Chaudhry Naveed Ashraf,Pakistan Muslim League (N),Punjab,Sialkot
PP-51,Sialkot-VIII,Zeeshan Rafiq,Pakistan Muslim League (N),Punjab,Sialkot
PP-52,Sialkot-IX,Hina Arshad Warraich,Pakistan Muslim League (N),Punjab,Sialkot
