constituency_code,constituency_name,member_name,party,province,district
NA-1,Chitral,Abdul Latif,,SIC,Chitral
NA-2,Swat-I,Amjad Ali Khan,,SIC[6],Swat
NA-3,Swat-II,Salim Rehman,,SIC,Swat
NA-4,Swat-III,Sohail Sultan,,SIC[6],Swat
NA-5,Upper Dir,Sahibzada Sibghatullah,,SIC,Upper Dir
NA-6,Lower Dir-I,Muhammad Bashir Khan,,SIC[6],Lower Dir
NA-7,Lower Dir-II,Mehboob Shah,,SIC[6],Lower Dir
NA-8,Bajaur,Mubarak Zeb Khan,,ANP,Bajaur
NA-9,Malakand,Junaid Akbar,,SIC[6],Malakand
NA-10,Buner,Gohar Ali Khan,,SIC,Buner
NA-11,Shangla,Amir Muqam,,PML(N),Shangla
NA-12,Kohistan,Malik Muhammad Idrees,,PML(N),Kohistan
NA-13,Battagram,Muhammad Nawaz Khan Allai,,SIC,Battagram
NA-14,Mansehra,Sardar Muhammad Yousuf,,PML(N),Mansehra
NA-15,Mansehra-cum-Torghar,Shahzada Muhammad Gushtasap Khan,,SIC,Mansehra-cum
NA-16,Abbottabad-I,Ali Asghar Khan,,SIC,Abbottabad
NA-17,Abbottabad-II,Ali Khan Jadoon,,SIC[6],Abbottabad
NA-18,Haripur,Omar Ayub,,SIC,Haripur
NA-19,Swabi-I,Asad Qaiser,,SIC[6],Swabi
NA-20,Swabi-II,Shahram Khan Tarakai,,SIC[6],Swabi
NA-21,Mardan-I,Mujahid Ali,,SIC[6],Mardan
NA-22,Mardan-II,Atif Khan,,SIC,Mardan
NA-23,Mardan-III,Ali Muhammad Khan,,SIC,Mardan
NA-24,Charsadda-I,Malik Anwar Taj,,SIC[6],Charsadda
NA-25,Charsadda-II,Fazal Muhammad Khan,,SIC[6],Charsadda
NA-26,Mohmand,Sajid Khan Mohmand,,SIC,Mohmand
NA-27,Khyber,Mohammed Iqbal Khan Afridi,,SIC,Khyber
NA-28,Peshawar-I,Noor Alam Khan,,JUI(F),Peshawar
NA-29,Peshawar-II,Arbab Amir Ayub,,SIC[6],Peshawar
NA-30,Peshawar-III,Shandana Gulzar,,SIC[6],Peshawar
NA-31,Peshawar-IV,Sher Ali Arbab,,SIC[6],Peshawar
NA-32,Peshawar-V,Asif Khan,,SIC[6],Peshawar
NA-33,Nowshera-I,Syed Shah Ahad Ali Shah,,SIC[6],Nowshera
NA-34,Nowshera-II,Zulfiqar Ali,,SIC,Nowshera
NA-35,Kohat,Shehryar Afridi,,SIC,Kohat
NA-36,Hangu,Yousuf Khan,,SIC,Hangu
NA-37,Kurram-II,Hameed Hussain,,MWM,Kurram
NA-38,Karak,Shahid Ahmed Khattak,,SIC[6],Karak
NA-39,Bannu,Nasim Ali Shah,,SIC[6],Bannu
NA-40,North Waziristan,Misbahuddin,,JUI(F),North Waziristan
NA-41,Lakki Marwat,Sher Afzal Marwat,,SIC[6],Lakki Marwat
NA-42,South Waziristan,Zubair Khan Wazir,,SIC,South Waziristan
NA-43,Tank,Dawar Khan Kundi,,SIC,Tank
NA-44,Dera Ismail Khan-I,Faisal Amin Khan Gandapur,,SIC,Dera Ismail Khan
NA-45,D I Khan-II,Fatehullah Khan Miankhel,,PPP,D I Khan
NA-46,Islamabad-I,Anjum Aqeel Khan,,PML(N),Islamabad
NA-47,Islamabad-II,Tariq Fazal Chaudhry,,PML(N),Islamabad
NA-48,Islamabad-III,Khurram Shehzad Nawaz,,PML(N),Islamabad
NA-49,Attock-I,Sheikh Aftab Ahmed,,PML(N),Attock
NA-50,Attock-II,Malik Sohail Khan,,PML(N),Attock
NA-51,Murree-cum-Rawalpindi,Raja Usama Sarwar,,PML(N),Murree-cum
NA-52,Rawalpindi-I,Raja Pervaiz Ashraf,,PPP,Rawalpindi
NA-53,Rawalpindi-II,Qamar-ul-Islam Raja,,PML(N),Rawalpindi
NA-54,Rawalpindi-III,Aqeel Malik,,PML(N),Rawalpindi
NA-55,Rawalpindi-IV,Malik Ibrar Ahmed,,PML(N),Rawalpindi
NA-56,Rawalpindi-V,Hanif Abbasi,,PML(N),Rawalpindi
NA-57,Rawalpindi-VI,Daniyal Chaudhary,,PML(N),Rawalpindi
NA-58,Chakwal,Tahir Iqbal,,PML(N),Chakwal
NA-59,Chakwal-cum-Talagang,Sardar Ghulam Abbas,,PML(N),Chakwal-cum
NA-60,Jhelum-I,Bilal Azhar Kayani,,PML(N),Jhelum
NA-61,Jhelum-II,Chaudhry Farrukh Altaf,,PML(N),Jhelum
NA-62,Gujrat-I,Muhammad Ilyas Chaudhary,,PML(Q),Gujrat
NA-63,Gujrat-II,Chaudhry Hussain Elahi,,PML(Q),Gujrat
NA-64,Gujrat-III,Chaudhry Salik Hussain,,PML(Q),Gujrat
NA-65,Gujrat-IV,Chaudhary Naseer Ahmed Abbas,,PML(N),Gujrat
NA-66,Wazirabad,Muhammad Ahmed Chattha,,SIC,Wazirabad
NA-67,Hafizabad,Aneeqa Mehdi,,SIC,Hafizabad
NA-68,Mandi Bahauddin-I,Imtiaz Ahmed Chaudhary,,SIC,Mandi Bahauddin
NA-69,Mandi Bahauddin-II,Nasir Iqbal Bosal,,PML(N),Mandi Bahauddin
NA-70,Sialkot-I,Armaghan Subhani,,PML(N),Sialkot
NA-71,Sialkot-II,Khawaja Asif,,PML(N),Sialkot
NA-72,Sialkot-III,Ali Zahid,,PML(N),Sialkot
NA-73,Sialkot-IV,Syeda Nosheen Iftikhar,,PML(N),Sialkot
NA-74,Sialkot-V,Muhammad Aslam Ghumman,,SIC,Sialkot
NA-75,Narowal-I,Anwaarul Haq Chaudhary,,PML(N),Narowal
NA-76,Narowal-II,Ahsan Iqbal,,PML(N),Narowal
NA-77,Gujranwala-I,Chaudhry Mehmood Bashir,,PML(N),Gujranwala
NA-78,Gujranwala-II,Chaudhary Mubeen Arif Jutt,,SIC,Gujranwala
NA-79,Gujranwala-III,Chaudhary Ahsaanullah Virk,,SIC,Gujranwala
NA-80,Gujranwala-IV,Shahid Usman Ibrahim,,PML(N),Gujranwala
NA-81,Gujranwala-V,Chaudhry Bilal Ijaz,,SIC,Gujranwala
NA-82,Sargodha-I,Mukhtar Ahmad Bharath,,PML(N),Sargodha
NA-83,Sargodha-II,Usama Ghias Mela,,SIC[6],Sargodha
NA-84,Sargodha-III,Malik Shafqat Abbas Awan,,SIC[6],Sargodha
NA-85,Sargodha-IV,Zulfiqar Ali Bhatti,,PML(N),Sargodha
NA-86,Sargodha-V,Miqdad Ali Khan Baloch,,SIC,Sargodha
NA-87,Khushab-I,Malik Shakir Bashir Awan,,PML(N),Khushab
NA-88,Khushab-II,Gul Asghar Khan Baghoor,,IPP,Khushab
NA-89,Mianwali-I,Jamal Ahsan Khan Isakhel,,SIC,Mianwali
NA-90,Mianwali-II,Umair Khan Niazi,,SIC,Mianwali
NA-91,Bhakkar-I,Sanaullah Khan Mastikhel,,SIC,Bhakkar
NA-92,Bhakkar-II,Rashid Akbar Khan Nawani,,PML(N),Bhakkar
NA-93,Chiniot-I,Ghulam Muhammad Lali,,SIC,Chiniot
